Renda Mensal,Gasto com outras financiadoras,Aprovacao
18562,15763,0
37037,8342,0
18672,10053,0
43776,6086,0
19302,5214,0
29695,16244,1
26200,9147,0
45947,1179,0
44777,6989,0
43897,8458,0
3242,19489,0
48350,16656,1
12520,6139,0
10962,1365,0
15068,10070,0
3869,17871,0
25445,16524,1
48364,11311,1
5289,12734,0
22428,7175,0
25401,16060,1
49167,18203,1
40760,16005,1
6349,3737,0
11986,10050,0
10367,7715,0
7725,1571,0
7974,2172,0
40745,15444,1
7160,13103,0
35918,4824,0
4242,17746,0
23143,19229,0
17170,9324,0
48559,1862,0
15612,8946,0
43178,5157,0
18377,13694,0
29989,1826,0
42429,17558,1
49819,8259,0
38913,1071,0
19595,11729,0
11922,1323,0
47705,18843,1
2972,17689,0
32079,14909,1
39743,16138,1
23746,1237,0
19493,18812,0
38981,15803,1
41266,12930,1
43954,18459,1
30350,11077,1
44846,8996,0
31830,6579,0
20471,2593,0
11353,15759,0
22274,7833,0
43205,10375,1
23666,18558,0
29259,19156,1
7704,5641,0
30571,12544,1
20061,4175,0
18823,9104,0
16525,1428,0
